data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia,link_materia_oficial,texto
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Termo,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660954,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660954.htm,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO TERMO DE PERMISSÃO DE USO DE IMÓVEL
PÚBLICO
(Processo  SEI  nº 00310004.000932/2019-28)
 
PERMITENTE:
Secretaria de Estado da Tributação (SET); INTERVENIENTE: Procuradoria Geral do Estado
(PGE-RN); PERMISSIONÁRIO: Associação Camarense de Apoio aos Portadores de
Deficiência (ACAPORD). OBJETO: alteração da Cláusula Terceira (da condição) e
da Subcláusula Única do mesmo artigo, a fim de permitir que a Associação
Camarense de Apoio aos Portadores de Deficiência (ACAPORD) realize obras no
imóvel do Estado do Rio Grande do Norte, para a construção de uma sala de
fisioterapia, piscina para hidroterapia, sala de reunião, escritório e a
instalação de placas de energia solar. LOCAL E DATA; Natal/RN, 26/08/2019.  ASSINATURAS: Luiz Antônio Marinho da Silva 
Procurador Geral do Estado; José Marcelo Ferreira Costa  Procurador do Estado
Chefe da PPDA; Carlos Eduardo Xavier  Secretário de Estado da Tributação; Eunice
Maria Xavier  Associação Camarense de Apoio aos Portadores de Deficiência
(ACAPORD)."
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"EXTRATO DO QUARTO TERMO ADITIVO AO CONTRATO N° 058/2017 - SIN QUARTO TERMO ADITIVO AO CONTRATO DE OBRA, DO TIPO MENOR PREÇO, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO, COM FORNECIMENTO DE MATERIAIS, QUE ENTRE SI CELEBRAM O ESTADO DO RIO GRANDE DO NORTE ATRAVÉS DO GABINETE CIVIL DO GOVERNADOR – GAC/RN, COM INTERVENIÊNCIA DA SECRETARIA DE ESTADO DA INFRAESTRUTURA – SIN/RN, E A EMPRESA EMPROTEC – EMPRESA DE PROJETOS TÉCNICOS E CONSTRUÇÃO CIVIL LTDA - ME, PARA ELABORAÇÃO DE PROJETOS ARQUITETONICOS E COMPLEMENTARES DE ENGENHARIA PARA AS FUTURAS OBRAS DO CENTRO DE CONVIVÊNCIA DO GOVERNO, NO CENTRO ADMINISTRATIVO DO ESTADO. Processo Administrativo nº 02210140.000651/2019-37 – SIN. DO OBJETO: O presente termo aditivo tem por objeto a prorrogação do prazo de vigência do contrato, por mais 180 (cento e oitenta) dias, conforme justificativa técnica e cronograma de execução que integram o presente instrumento, contados a partir do dia subsequente ao término do prazo de vigência anterior. Assim, para a vigência contratual o prazo será contado do dia 09/11/2019 até o dia 06/05/2020. DA RATIFICAÇÃO: Ficam mantidas e ratificadas as demais cláusulas e condições até então pactuadas que não conflitarem com o presente instrumento complementar. DA VIGÊNCIA E EFICÁCIA: O presente Termo Aditivo terá vigência a partir de sua assinatura e eficácia com a publicação no Diário Oficial do Estado. Natal/RN, 24 de setembro de 2019. RAIMUNDO ALVES JÚNIOR Secretário-Chefe do Gabinete Civil do Governador do Estado GUSTAVO FERNANDES ROSADO COÊLHO Secretário de Estado da Infraestrutura FRANCISCO MARCÍLIO DE PONTES CONFESSOR EMPROTEC – EMPRESA DE PROJETOS TÉCNICOS E CONSTRUÇÃO CIVIL LTDA - ME",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=661049,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/661049.htm,"EXTRATO
DO QUARTO TERMO ADITIVO AO CONTRATO N° 058/2017 - SIN
QUARTO
TERMO ADITIVO AO CONTRATO DE OBRA, DO TIPO MENOR PREÇO, EM REGIME DE EMPREITADA
POR PREÇO UNITÁRIO, COM FORNECIMENTO DE MATERIAIS, QUE ENTRE SI CELEBRAM O
ESTADO DO RIO GRANDE DO NORTE ATRAVÉS DO GABINETE CIVIL DO GOVERNADOR  GAC/RN,
COM INTERVENIÊNCIA DA SECRETARIA DE
ESTADO DA INFRAESTRUTURA  SIN/RN, E A EMPRESA EMPROTEC  EMPRESA DE PROJETOS
TÉCNICOS E CONSTRUÇÃO CIVIL LTDA - ME, PARA ELABORAÇÃO DE PROJETOS
ARQUITETONICOS E COMPLEMENTARES DE ENGENHARIA PARA AS FUTURAS OBRAS DO CENTRO
DE CONVIVÊNCIA DO GOVERNO, NO CENTRO ADMINISTRATIVO DO ESTADO. Processo
Administrativo nº 02210140.000651/2019-37  SIN. DO OBJETO: O presente termo
aditivo tem por objeto a prorrogação do prazo de vigência do contrato, por mais
180 (cento e oitenta) dias, conforme justificativa técnica e cronograma de
execução que integram o presente instrumento, contados a partir do dia
subsequente ao término do prazo de vigência anterior. Assim, para a vigência
contratual o prazo será contado do dia 09/11/2019 até o dia 06/05/2020. DA
RATIFICAÇÃO: Ficam mantidas e ratificadas as demais cláusulas e condições até
então pactuadas que não conflitarem com o presente instrumento complementar. DA
VIGÊNCIA E EFICÁCIA: O presente Termo Aditivo terá vigência a partir de sua
assinatura e eficácia com a publicação no Diário Oficial do Estado.
Natal/RN,
24 de setembro de 2019.
RAIMUNDO
ALVES JÚNIOR
Secretário-Chefe
do Gabinete Civil do Governador do Estado
GUSTAVO
FERNANDES ROSADO COÊLHO
Secretário de Estado da Infraestrutura
FRANCISCO
MARCÍLIO DE PONTES CONFESSOR
EMPROTEC  EMPRESA DE PROJETOS TÉCNICOS E CONSTRUÇÃO
CIVIL LTDA - ME"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"AVISO RESULTADO DA LICITAÇÃO LICITAÇÃO TOMADA DE PREÇOS Nº 013/2019-SIN PROCESSO: Nº 000458/2014-7 TIPO: DO TIPO MENOR PREÇO, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO. OBJETO: REFORMA DA 6º DELEGACIA DE POLÍCIA – CONJUNTO PAJUÇARA, EM NATAL/RN A Comissão Permanente de Licitação – CPL/SIN, no uso de suas atribuições, torna público, a quem interessar, que a licitante JOÃO HIGOR PINTO DIAS ME (SUSSUARANA ENGENHARIA E ARQUITETURA), foi “HABILITADA” e “CLASSIFICADA” em 1º lugar com o valor total de R$ 227.461,34 (duzentos e vinte e sete mil, quatrocentos e sessenta e um reais e trinta e quatro centavos), por cumprir as exigências do Edital. Natal/RN, 02 de outubro de 2019. MÁRCIO FERREIRA DO NASCIMENTO PRESIDENTE DA CPL/SIN",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=661051,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/661051.htm,"AVISO
RESULTADO DA LICITAÇÃO
LICITAÇÃO
TOMADA DE PREÇOS Nº 013/2019-SIN
PROCESSO: Nº 000458/2014-7
TIPO: DO TIPO
MENOR PREÇO, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO.
OBJETO: REFORMA
DA 6º DELEGACIA DE POLÍCIA  CONJUNTO PAJUÇARA, EM NATAL/RN
A Comissão Permanente de
Licitação  CPL/SIN, no uso de suas atribuições, torna público, a quem
interessar, que a licitante JOÃO HIGOR
PINTO DIAS ME (SUSSUARANA ENGENHARIA E ARQUITETURA), foi HABILITADA e CLASSIFICADA
em 1º lugar com o valor total de R$ 227.461,34
(duzentos e vinte e sete mil, quatrocentos e sessenta e um reais e trinta e
quatro centavos), por cumprir as exigências do
Edital. 
Natal/RN, 02 de outubro de 2019.
MÁRCIO FERREIRA DO NASCIMENTO
PRESIDENTE DA CPL/SIN"
